"","date","open","high","low","close","volume","adjclose","highesthigh","lowestlow","month","quarter","year","weekday","close.1","higherclose","lowerclose","gapup","gapdown","high.1","higherhigh","low.1","lowerlow","lowerhigh","higherlow","open.1","higheropen","loweropen","bagapup","bagapdown","truerange","atr","vma","atr20","sepoc","sepol","sepoh","sepcl","sepch","sepocabs","highsep","net","net2","netreturn","netreturn2","netreturn3","netreturn4","netreturn5","atr3","volratio","highesthigh2","lowestlow2","sepoc2","open.2","highesthigh3","lowestlow3","sepoc3","open.3","highesthigh4","lowestlow4","sepoc4","netup","range","rangeratio","highrange","bigup","netdown","bigdown","month.1","quarter.1","year.1","weekday.1","higherclose.1","lowerclose.1","higherhigh.1","lowerlow.1","lowerhigh.1","higherlow.1","truerange.1","atr.1","vma.1","atr20.1","sepoc.1","sepol.1","sepoh.1","sepcl.1","sepch.1","highsep.1","net.1","net2.1","netreturn.1","netreturn2.1","netreturn3.1","netreturn4.1","netreturn5.1","volratio.1","sepoc2.1","sepoc3.1","sepoc4.1","bigup.1","bigdown.1"
"1","12-10-31",679.86,681,675,680.3,1537000,680.3,681,675,"Oct","4Q","2012","Wed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1537000,NA,7.33333333333235,81.0000000000002,18.9999999999998,88.3333333333326,11.6666666666674,7.33333333333235,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","12-11-01",679.5,690.9,678.72,687.59,2050100,687.59,690.9,675,"Nov","4Q","2012","Thu",680.3,TRUE,FALSE,FALSE,TRUE,681,TRUE,675,FALSE,FALSE,TRUE,679.86,FALSE,TRUE,FALSE,FALSE,12.1799999999999,12.1799999999999,1793550,NA,66.420361247948,6.40394088669931,93.5960591133007,72.8243021346473,27.1756978653527,66.420361247948,FALSE,7.29000000000008,NA,1.07158606497135,NA,NA,NA,NA,NA,NA,690.9,675,48.616352201258,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,12.1799999999999,NA,NA,FALSE,FALSE,FALSE,10,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,1537000,NA,7.33333333333235,81.0000000000002,18.9999999999998,88.3333333333326,11.6666666666674,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
"3","12-11-02",694.79,695.55,687.37,687.92,2324400,687.92,695.55,675,"Nov","4Q","2012","Fri",687.59,TRUE,FALSE,TRUE,FALSE,690.9,TRUE,678.72,FALSE,FALSE,TRUE,679.5,TRUE,FALSE,TRUE,FALSE,8.17999999999995,10.1799999999999,1970500,NA,-83.9853300733502,90.7090464547678,9.29095354523221,6.72371638141758,93.2762836185824,83.9853300733502,TRUE,0.329999999999927,7.62,0.0479937171861122,1.12009407614289,NA,NA,NA,10.1799999999999,NA,695.55,678.72,50.0297088532382,679.86,695.55,675,39.2214111922139,NA,NA,NA,NA,TRUE,8.17999999999995,NA,NA,NA,FALSE,FALSE,11,4,1,5,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,12.1799999999999,12.1799999999999,1793550,NA,66.420361247948,6.40394088669931,93.5960591133007,72.8243021346473,27.1756978653527,FALSE,7.29000000000008,NA,1.07158606497135,NA,NA,NA,NA,NA,48.616352201258,NA,NA,FALSE,FALSE
"4","12-11-05",684.5,686.86,675.56,682.96,1635900,682.96,695.55,675,"Nov","4Q","2012","Mon",687.92,FALSE,TRUE,FALSE,TRUE,695.55,FALSE,687.37,TRUE,TRUE,FALSE,694.79,FALSE,TRUE,FALSE,TRUE,11.8100000000001,10.7233333333333,1886850,NA,-13.6283185840704,79.1150442477876,20.8849557522124,65.4867256637172,34.5132743362828,13.6283185840704,FALSE,-4.95999999999992,-4.63,-0.721014071403636,-0.673366395671837,0.391003968837289,NA,NA,10.7233333333333,NA,695.55,675.56,-59.1795897948971,679.5,695.55,675.56,17.3086543271638,679.86,695.55,675,15.0851581508517,FALSE,11.3000000000001,NA,NA,FALSE,TRUE,FALSE,11,4,1,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8.17999999999995,10.1799999999999,1970500,NA,-83.9853300733502,90.7090464547678,9.29095354523221,6.72371638141758,93.2762836185824,TRUE,0.329999999999927,7.62,0.0479937171861122,1.12009407614289,NA,NA,NA,NA,50.0297088532382,39.2214111922139,NA,NA,FALSE
"5","12-11-06",685.48,686.5,677.55,681.72,1582800,681.72,695.55,675,"Nov","4Q","2012","Tue",682.96,FALSE,TRUE,TRUE,FALSE,686.86,FALSE,675.56,FALSE,TRUE,TRUE,684.5,TRUE,FALSE,FALSE,FALSE,8.95000000000005,10.28,1826040,NA,-42.0111731843572,88.6033519553075,11.3966480446925,46.5921787709503,53.4078212290497,42.0111731843572,FALSE,-1.24000000000001,-6.19999999999993,-0.181562609816099,-0.901267589254551,-0.853706423886325,0.208731442010879,NA,9.64666666666668,NA,686.86,675.56,-24.601769911504,694.79,695.55,675.56,-65.3826913456725,679.5,695.55,675.56,11.1055527763883,FALSE,8.95000000000005,NA,NA,FALSE,TRUE,FALSE,11,4,1,2,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,11.8100000000001,10.7233333333333,1886850,NA,-13.6283185840704,79.1150442477876,20.8849557522124,65.4867256637172,34.5132743362828,FALSE,-4.95999999999992,-4.63,-0.721014071403636,-0.673366395671837,0.391003968837289,NA,NA,NA,-59.1795897948971,17.3086543271638,15.0851581508517,FALSE,FALSE
"6","12-11-07",675,678.23,666.49,667.12,2232300,667.12,695.55,666.49,"Nov","4Q","2012","Wed",681.72,FALSE,TRUE,FALSE,TRUE,686.5,FALSE,677.55,TRUE,TRUE,FALSE,685.48,FALSE,TRUE,FALSE,TRUE,11.74,10.572,1893750,NA,-67.1209540034071,72.487223168654,27.512776831346,5.36626916524698,94.633730834753,67.1209540034071,FALSE,-14.6,-15.84,-2.14164172974242,-2.31931591894109,-3.02360739620886,-2.9770648206053,-1.93738056739673,10.8333333333334,NA,686.5,666.49,-91.7541229385309,684.5,686.86,666.49,-85.3215513009327,694.79,695.55,666.49,-95.2167928423951,FALSE,11.74,NA,NA,FALSE,TRUE,FALSE,11,4,1,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,8.95000000000005,10.28,1826040,NA,-42.0111731843572,88.6033519553075,11.3966480446925,46.5921787709503,53.4078212290497,FALSE,-1.24000000000001,-6.19999999999993,-0.181562609816099,-0.901267589254551,-0.853706423886325,0.208731442010879,NA,NA,-24.601769911504,-65.3826913456725,11.1055527763883,FALSE,FALSE
"7","12-11-08",670.2,671.49,651.23,652.29,2597000,652.29,695.55,651.23,"Nov","4Q","2012","Thu",667.12,FALSE,TRUE,TRUE,FALSE,678.23,FALSE,666.49,TRUE,TRUE,FALSE,675,FALSE,TRUE,FALSE,FALSE,20.26,12.1866666666667,1994214.28571429,NA,-88.4007897334654,93.6327739387958,6.36722606120416,5.23198420533043,94.7680157946696,88.4007897334654,TRUE,-14.83,-29.4300000000001,-2.22298836790983,-4.31702165111777,-4.49074616375778,-5.17938132340969,-5.13387338384794,13.65,NA,678.23,651.23,-84.1111111111112,685.48,686.5,651.23,-94.1026368018148,684.5,686.86,651.23,-90.4013471793434,FALSE,20.26,NA,NA,FALSE,TRUE,NA,11,4,1,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,11.74,10.572,1893750,NA,-67.1209540034071,72.487223168654,27.512776831346,5.36626916524698,94.633730834753,FALSE,-14.6,-15.84,-2.14164172974242,-2.31931591894109,-3.02360739620886,-2.9770648206053,-1.93738056739673,NA,-91.7541229385309,-85.3215513009327,-95.2167928423951,FALSE,FALSE
"8","12-11-09",654.65,668.34,650.3,663.03,3114100,663.03,695.55,650.3,"Nov","4Q","2012","Fri",652.29,TRUE,FALSE,TRUE,FALSE,671.49,FALSE,651.23,TRUE,TRUE,FALSE,670.2,FALSE,TRUE,FALSE,FALSE,18.0400000000001,13.0228571428572,2134200,NA,46.452328159645,24.1130820399113,75.8869179600887,70.5654101995563,29.4345898004437,46.452328159645,FALSE,10.74,-4.09000000000003,1.64650692176793,-0.613083103489631,-2.74159478964972,-2.91817968841515,-3.61815327363647,16.68,NA,671.49,650.3,-33.8367154318077,675,678.23,650.3,-42.8571428571429,685.48,686.5,650.3,-62.0165745856354,TRUE,18.0400000000001,NA,NA,FALSE,FALSE,FALSE,11,4,1,5,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,20.26,12.1866666666667,1994214.28571429,NA,-88.4007897334654,93.6327739387958,6.36722606120416,5.23198420533043,94.7680157946696,TRUE,-14.83,-29.4300000000001,-2.22298836790983,-4.31702165111777,-4.49074616375778,-5.17938132340969,-5.13387338384794,NA,-84.1111111111112,-94.1026368018148,-90.4013471793434,FALSE,NA
"9","12-11-12",663.75,669.8,660.87,665.9,1405900,665.9,695.55,650.3,"Nov","4Q","2012","Mon",663.03,TRUE,FALSE,TRUE,FALSE,668.34,TRUE,650.3,FALSE,FALSE,TRUE,654.65,TRUE,FALSE,FALSE,FALSE,8.92999999999995,12.51125,2053277.77777778,NA,24.0761478163493,32.2508398656216,67.7491601343784,56.3269876819709,43.6730123180291,24.0761478163493,FALSE,2.87,13.61,0.432861258163286,2.08649527050853,-0.182875644561697,-2.32060083318665,-2.4979500995666,15.7433333333333,NA,669.8,650.3,57.6923076923077,670.2,671.49,650.3,-20.2925908447384,675,678.23,650.3,-32.5814536340852,TRUE,8.92999999999995,NA,NA,FALSE,FALSE,FALSE,11,4,1,6,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,18.0400000000001,13.0228571428572,2134200,NA,46.452328159645,24.1130820399113,75.8869179600887,70.5654101995563,29.4345898004437,FALSE,10.74,-4.09000000000003,1.64650692176793,-0.613083103489631,-2.74159478964972,-2.91817968841515,-3.61815327363647,NA,-33.8367154318077,-42.8571428571429,-62.0165745856354,FALSE,FALSE
"10","12-11-13",663,667.6,658.23,659.05,1594200,659.05,695.55,650.3,"Nov","4Q","2012","Tue",665.9,FALSE,TRUE,FALSE,TRUE,669.8,FALSE,660.87,TRUE,TRUE,FALSE,663.75,FALSE,TRUE,FALSE,FALSE,9.37,12.1622222222222,2007370,NA,-42.1558164354327,50.9071504802559,49.0928495197441,8.75133404482322,91.2486659551768,42.1558164354327,FALSE,-6.85000000000002,-3.98000000000002,-1.02868298543325,-0.600274497383224,1.03634886323567,-1.20967741935485,-3.32541219268909,12.1133333333333,NA,669.8,658.23,-40.622299049266,654.65,669.8,650.3,22.5641025641025,670.2,671.49,650.3,-52.6191599811235,FALSE,9.37,NA,NA,FALSE,TRUE,FALSE,11,4,1,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,8.92999999999995,12.51125,2053277.77777778,NA,24.0761478163493,32.2508398656216,67.7491601343784,56.3269876819709,43.6730123180291,FALSE,2.87,13.61,0.432861258163286,2.08649527050853,-0.182875644561697,-2.32060083318665,-2.4979500995666,NA,57.6923076923077,-20.2925908447384,-32.5814536340852,FALSE,FALSE
